FranchiseeName,FranchiseeID,StoreID,StoreName
Francis Tidmas,2417,104989,104989 - Sage
Archy Janos,2373,104988,104988 - Golf Course
Sharl Whorall,2214,104988,104988 - Golf Course
Federica Blann,2224,104987,104987 - Eastlawn
Olivie Duberry,2451,104986,104986 - Parkside
Bari Leavesley,2181,104985,104985 - Redwing
Avigdor Bahde,2007,104984,104984 - Drewry
Ricki Winspurr,2369,104983,104983 - Nova
Yasmeen Woolard,2380,104982,104982 - Mayer
Porter Rein,2646,104981,104981 - Scott
Aloisia Gapper,2553,104980,104980 - Fisk
Hoyt Reimers,2318,104979,104979 - Sycamore
Estevan Wollen,2416,104978,104978 - Grover
Clarabelle Kubec,2067,104977,104977 - Forest
Reese Gasnell,2245,104976,104976 - La Follette
Ann-marie Tyers,2592,104975,104975 - Coolidge
Wilfred Andre,2375,104974,104974 - Waywood
Trudie Napoleone,2154,104973,104973 - Hayes
Artemis Duncombe,2322,104972,104972 - Myrtle
Ave Luc,2206,104971,104971 - Ridge Oak
Ben Ragot,2104,104970,104970 - Hoffman
Colet Godball,2014,104969,104969 - Doe Crossing
Reese Gasnell,2245,104968,104968 - Hovde
Reese Gasnell,2245,104967,104967 - Surrey
Neile Siss,2238,104966,104966 - Delladonna
Kerby Whawell,2396,104965,104965 - Katie
Delilah Kingdon,2159,104964,104964 - Prairie Rose
Delilah Kingdon,2159,104963,104963 - Bluestem
Lari Verlinde,2472,104962,104962 - Center
Corenda Kerwin,2596,104961,104961 - Schurz
Price O' Liddy,2246,104960,104960 - Bobwhite
Ynez Stapley,2621,104959,104959 - Pearson
Boony Langham,2593,104958,104958 - Kennedy
Haskell Saxon,2055,104957,104957 - Fairfield
Ynez Stapley,2621,104956,104956 - Huxley
Abigale Kindred,2496,104955,104955 - Arkansas
Britney Rudd,2377,104954,104954 - Maywood
Ermanno Dyhouse,2643,104953,104953 - Kings
Ali Freen,2347,104952,104952 - Linden
Farrel Simanek,2339,104951,104951 - Schlimgen
Suzie Hustings,2385,104950,104950 - Waxwing
Catharina Pletts,2223,104949,104949 - Knutson
Jannelle Ryan,2648,104948,104948 - Hanover
Fayre Tomsa,2210,104947,104947 - New Castle
Bliss Milliken,2211,104946,104946 - Dexter
Nobe Stittle,2296,104945,104945 - Donald
Celia Hagergham,2430,104944,104944 - Maple Wood
Reese Gasnell,2245,104944,104944 - Maple Wood
Jennilee Shillaber,2010,104943,104943 - Spohn
Adolphus Rustich,2062,104942,104942 - Welch
Artemis Duncombe,2322,104941,104941 - Village
Artemis Duncombe,2322,104940,104940 - Hayes
Alister Barrick,2526,104939,104939 - Scoville
Alister Barrick,2526,104938,104938 - Carey
Unknown #2669,2669,104938,104938 - Carey
Pincus Hender,2540,104937,104937 - Vidon
Yasmeen Woolard,2380,104936,104936 - Russell
Yasmeen Woolard,2380,104935,104935 - Doe Crossing
Adolphus Rustich,2062,104934,104934 - Warner
Artemis Duncombe,2322,104933,104933 - Rusk
Yasmeen Woolard,2380,104932,104932 - Mayer
Adolphus Rustich,2062,104931,104931 - Sachtjen
Alister Barrick,2526,104930,104930 - Mandrake
Cornell Rumford,2360,104929,104929 - Valley Edge
Alister Barrick,2526,104928,104928 - Bay
Alister Barrick,2526,104927,104927 - Old Shore
Alister Barrick,2526,104926,104926 - Glacier Hill
Pincus Hender,2540,104925,104925 - Granby
Artemis Duncombe,2322,104924,104924 - Duke
Alister Barrick,2526,104923,104923 - Bashford
Alister Barrick,2526,104922,104922 - Dovetail
Alister Barrick,2526,104921,104921 - Sherman
Adolphus Rustich,2062,104920,104920 - Miller
Alister Barrick,2526,104919,104919 - Spenser
Artemis Duncombe,2322,104918,104918 - Northland
Yasmeen Woolard,2380,104917,104917 - Straubel
Alister Barrick,2526,104916,104916 - 7th
Ulrick Rolf,2315,104915,104915 - Cherokee
Artemis Duncombe,2322,104914,104914 - Becker
Calypso Colum,2558,104913,104913 - Forest Run
Pincus Hender,2540,104912,104912 - Doe Crossing
Adolphus Rustich,2062,104911,104911 - Dexter
Artemis Duncombe,2322,104910,104910 - Everett
Damita Nutbrown,2676,104909,104909 - Aberg
Pincus Hender,2540,104908,104908 - David
Artemis Duncombe,2322,104907,104907 - Kipling
Lona Smallman,2363,104906,104906 - Grim
Yasmeen Woolard,2380,104905,104905 - Mallory
Hervey Benninck,2050,104904,104904 - Mallory
Yasmeen Woolard,2380,104903,104903 - Lakeland
Alister Barrick,2526,104902,104902 - Carey
Alister Barrick,2526,104901,104901 - Forster
Cornell Rumford,2360,104900,104900 - Huxley
Damita Nutbrown,2676,104899,104899 - Crownhardt
Pincus Hender,2540,104898,104898 - Lawn
Sheila Cockings,2122,104897,104897 - Grover
Aurelia Paulich,2398,104896,104896 - Dawn
Alister Barrick,2526,104895,104895 - Meadow Ridge
Adolphus Rustich,2062,104894,104894 - Mcguire
Alister Barrick,2526,104893,104893 - Mallard
Pincus Hender,2540,104892,104892 - Dottie
Alister Barrick,2526,104891,104891 - Corben
Artemis Duncombe,2322,104890,104890 - Knutson
Yasmeen Woolard,2380,104889,104889 - Graedel
Artemis Duncombe,2322,104888,104888 - Acker
Hervey Benninck,2050,104887,104887 - Melvin
Artemis Duncombe,2322,104886,104886 - Hollow Ridge
Ulrick Rolf,2315,104885,104885 - Cottonwood
Ulrick Rolf,2315,104884,104884 - Anniversary
Alister Barrick,2526,104883,104883 - Michigan
Alister Barrick,2526,104882,104882 - Eliot
Sheila Cockings,2122,104881,104881 - Swallow
Damita Nutbrown,2676,104880,104880 - Randy
Adolphus Rustich,2062,104879,104879 - Emmet
Artemis Duncombe,2322,104878,104878 - Vera
Artemis Duncombe,2322,104877,104877 - High Crossing
Alister Barrick,2526,104876,104876 - Vahlen
Corella Parminter,2681,104875,104875 - Hayes
Lona Smallman,2363,104874,104874 - Raven
Yasmeen Woolard,2380,104873,104873 - Blackbird
Corella Parminter,2681,104872,104872 - Lien
Corella Parminter,2681,104871,104871 - Memorial
Artemis Duncombe,2322,104870,104870 - Spohn
Hervey Benninck,2050,104869,104869 - Shasta
Alister Barrick,2526,104868,104868 - Red Cloud
Alister Barrick,2526,104867,104867 - Debra
Rickie Troke,2061,104866,104866 - Butterfield
Damita Nutbrown,2676,104865,104865 - Alpine
